program_id;program_name;study_level;course_id;course_name;course_credits;study_year;mandatory_course;spring_fall;num_students;teacher_workload_hours;teacher_id;teacher_firstname;teacher_lastname;faculty_code;department_code;is_external;percent_employed;is_studass;percent_course
MSCS;Computer Science;M;m1-db;Database introduction;7.5;1;TRUE;F;15;330;db_teacher;Mai;Seequel;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m1-math;Mathematics;7.5;1;TRUE;F;15;330;overloaded_math_teacher;Joseph-Louis;Lagrange;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m1-java;Java programming;7.5;1;TRUE;F;15;330;fragmented;Jack;Defragment;IE;IIR;FALSE;100;FALSE;50
MSCS;Computer Science;M;m1-java;Java programming;7.5;1;TRUE;F;15;330;many_pieces;Ilike;Jigsaws;IE;IIR;FALSE;50;FALSE;25
MSCS;Computer Science;M;m1-model3d;3D modelling;7.5;1;TRUE;F;15;330;overloaded_3dmodeller;Threedee;Only;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m2-testing;OOP Testing;7.5;1;FALSE;S;4;330;fragmented;Jack;Defragment;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m2-ai;Artificial Intelligence;7.5;1;FALSE;S;4;330;fifty_perc;Dolores;Fifty;IE;IIR;FALSE;50;FALSE;50
MSCS;Computer Science;M;m2-ai;Artificial Intelligence;7.5;1;FALSE;S;4;330;fragmented;Jack;Defragment;IE;IIR;FALSE;100;FALSE;50
MSCS;Computer Science;M;m2-struc;Data structures;7.5;1;TRUE;S;15;330;fifty_perc;Dolores;Fifty;IE;IIR;FALSE;50;FALSE;100
MSCS;Computer Science;M;m2-mgmt;Project management;7.5;1;TRUE;S;15;330;;;;;;;;;
MSCS;Computer Science;M;m2-eng;Business English;7.5;1;TRUE;S;15;330;;;;;;;;;
MSCS;Computer Science;M;m2-web1;Web programming 1;5;1;FALSE;S;7;220;overloaded_web_teacher;Tim;Berners-Lee;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m2-web2;Web programming 2;5;1;FALSE;S;7;220;overloaded_web_teacher;Tim;Berners-Lee;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m3-web3;Web programming 3;5;2;FALSE;F;7;220;overloaded_web_teacher;Tim;Berners-Lee;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m3-pres;Presentation;7.5;2;FALSE;F;6;330;fifty_overloaded;Fred;Toomuch;IE;IIR;FALSE;50;FALSE;100
MSCS;Computer Science;M;m3-geo;Geo-spatial data;7.5;2;FALSE;F;2;330;fifty_overloaded;Fred;Toomuch;IE;IIR;FALSE;50;FALSE;100
MSCS;Computer Science;M;m3-algos;Algorithms;7.5;2;TRUE;F;15;330;algo_freerider;Al;Gorismi;IE;IIR;FALSE;100;FALSE;50
MSCS;Computer Science;M;m3-algos;Algorithms;7.5;2;TRUE;F;15;330;many_pieces;Ilike;Jigsaws;IE;IIR;FALSE;50;FALSE;25
MSCS;Computer Science;M;m3-cv;Computer vision;7.5;2;TRUE;F;15;330;two_courses;Teodor;Teachto;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;m3-comp;Compilers;7.5;2;TRUE;F;15;330;fragmented;Jack;Defragment;IE;IIR;FALSE;100;FALSE;50
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;2;90;;;;;;;;;
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;2;90;ext_sup1;Bjarne;Stroustrup;;;TRUE;;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;many_pieces;Ilike;Jigsaws;IE;IIR;FALSE;50;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;4;180;ext_sup2;Dennis;Ritchie;;;TRUE;;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;freerider;Johnny;English;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;;;;;;;;;
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;fragmented;Jack;Defragment;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;normal1;Greg;Ular;IE;IIR;FALSE;100;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;new_tester;Tess;T'Automatically;IE;IIR;FALSE;50;FALSE;100
MSCS;Computer Science;M;ms-thesis;Master thesis;30;2;TRUE;S;1;45;net_teacher;Theesee;Pii;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b1-prog;Programming basics;10;1;TRUE;F;60;350;normal1;Greg;Ular;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b1-math;Mathematics 1;10;1;TRUE;F;60;350;overloaded_math_teacher;Joseph-Louis;Lagrange;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b1-history;History of Computer Science;10;1;TRUE;F;60;350;tired_history;Christopher;Columbus;HF;IHS;FALSE;40;FALSE;100
BSCE;Computer Engineering;B;b1-history;History of Computer Science;10;1;TRUE;F;60;350;new_history;Giorgio;Tsoukalos;HF;IHS;FALSE;25;FALSE;25
BSCE;Computer Engineering;B;b2-oop;Object-oriented programming;10;1;TRUE;S;100;450;;;;;;;;;
BSCE;Computer Engineering;B;b2-oop;Object-oriented programming;10;1;TRUE;S;100;450;many_pieces;Ilike;Jigsaws;IE;IIR;FALSE;50;FALSE;25
BSCE;Computer Engineering;B;b2-web;Web programing;10;1;TRUE;S;45;350;overloaded_web_teacher;Tim;Berners-Lee;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b2-math;Mathematics 2;10;1;TRUE;S;50;350;overloaded_math_teacher;Joseph-Louis;Lagrange;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b3-algo;Algorithms;10;2;TRUE;F;50;350;overloaded_3dmodeller;Threedee;Only;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b3-net;Computer networks;10;2;TRUE;F;80;400;net_teacher;Theesee;Pii;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b3-net;Computer networks;10;2;TRUE;F;80;400;net_assist1;John;YouDiiPii;IE;IIR;FALSE;100;TRUE;20
BSCE;Computer Engineering;B;b3-net;Computer networks;10;2;TRUE;F;80;400;net_assist2;Wolfram;EnTiiPii;IE;IIR;FALSE;100;TRUE;20
BSCE;Computer Engineering;B;b3-net;Computer networks;10;2;TRUE;F;80;400;net_assist3;Alice;Bob;IE;IIR;FALSE;100;TRUE;20
BSCE;Computer Engineering;B;b3-db;Databases;10;2;TRUE;F;45;350;db_teacher;Mai;Seequel;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b4-math;Mathematics 3;10;2;TRUE;S;40;350;overloaded_math_teacher;Joseph-Louis;Lagrange;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b4-stuct;Data structures;10;2;TRUE;S;40;350;overloaded_3dmodeller;Threedee;Only;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b4-testing;Program testing;10;2;TRUE;S;40;350;old_tester;Tess;T'Manually;IE;IIR;FALSE;50;FALSE;100
BSCE;Computer Engineering;B;b4-testing;Program testing;10;2;TRUE;S;40;350;new_tester;Tess;T'Automatically;IE;IIR;FALSE;50;FALSE;100
BSCE;Computer Engineering;B;b5-intern;Internship;10;3;TRUE;F;35;350;normal1;Greg;Ular;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b5-secure;Security;10;3;TRUE;F;35;350;extern_secure;Walter;O'Brien;;;TRUE;;FALSE;100
BSCE;Computer Engineering;B;b5-ai;Artificial Intelligence;10;3;FALSE;F;15;350;overloaded_3dmodeller;Threedee;Only;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b5-imgproc;Image processing;10;3;FALSE;F;15;350;two_courses;Teodor;Teachto;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b5-fractals;Fractals;10;3;FALSE;F;1;350;expensive_external;Many;Maker;;;TRUE;;FALSE;100
BSCE;Computer Engineering;B;b5-backend;Backend programming;10;3;FALSE;F;10;350;normal1;Greg;Ular;IE;IIR;FALSE;100;FALSE;75
BSCE;Computer Engineering;B;b5-backend;Backend programming;10;3;FALSE;F;10;350;many_pieces;Ilike;Jigsaws;IE;IIR;FALSE;50;FALSE;25
BSCE;Computer Engineering;B;b5-db2;Advanced databases;10;3;FALSE;F;15;350;db_teacher;Mai;Seequel;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;b5-mobile;Mobile apps;10;3;FALSE;F;20;350;ext_mobile;Jonathan;Ive;;;TRUE;100;FALSE;100
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;6;60;;;;;;;;;
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;9;90;mega_supervisor;Steve;Geobs;IE;IIR;;;;
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;3;30;new_tester;Tess;T'Automatically;IE;IIR;FALSE;50;FALSE;100
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;3;30;many_pieces;Ilike;Jigsaws;IE;IIR;FALSE;50;FALSE;100
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;3;30;extern_secure;Walter;O'Brien;;;TRUE;;FALSE;100
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;3;30;fragmented;Jack;Defragment;IE;IIR;FALSE;100;FALSE;100
BSCE;Computer Engineering;B;bs-thesis;Bachelor thesis;30;3;TRUE;S;3;30;net_teacher;Theesee;Pii;IE;IIR;FALSE;100;FALSE;100
;;;;;;;;;;;other_competence;Artist;Gotlost;IE;IIR;FALSE;100;FALSE;0
;;;;;;;;;;;mobile_researcher;Android;Riise-Rch;IE;IIR;FALSE;100;FALSE;0
BNOR;Normal Bachelor;B;nb1-1;Normal course 1;10;1;TRUE;F;40;350;normal2;John;Doe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb1-2;Normal course 2;10;1;TRUE;F;40;350;normal2;John;Doe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb1-3;Normal course 3;10;1;TRUE;F;40;350;normal3;John;Boe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb2-1;Normal course 4;10;1;TRUE;S;40;350;normal2;John;Doe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb2-2;Normal course 5;10;1;TRUE;S;40;350;normal3;John;Boe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb2-3;Normal course 6;10;1;TRUE;S;40;350;normal4;John;Foe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb3-1;Normal course 7;10;2;TRUE;F;40;350;normal4;John;Foe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb3-2;Normal course 8;10;2;TRUE;F;40;350;normal4;John;Foe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb3-3;Normal course 9;10;2;TRUE;F;40;350;normal5;John;Loe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb4-1;Normal course 10;10;2;TRUE;S;40;350;normal5;John;Loe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb4-2;Normal course 11;10;2;TRUE;S;40;350;normal5;John;Loe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb4-3;Normal course 12;10;2;TRUE;S;40;350;normal6;John;Soe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb5-1;Normal course 13;10;3;TRUE;F;40;350;normal6;John;Soe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb5-2;Normal course 14;10;3;TRUE;F;40;350;normal7;John;Zoe;IE;IIR;FALSE;75;FALSE;100
BNOR;Normal Bachelor;B;nb5-3;Normal course 15;10;3;TRUE;F;40;350;normal7;John;Zoe;IE;IIR;FALSE;75;FALSE;100
BNOR;Normal Bachelor;B;nb-thesis;Normal thesis;30;3;TRUE;S;20;200;normal3;John;Boe;IE;IIR;FALSE;100;FALSE;100
BNOR;Normal Bachelor;B;nb-thesis;Normal thesis;30;3;TRUE;S;20;200;normal6;John;Soe;IE;IIR;FALSE;100;FALSE;100
